t[s](1)              T[K](2)              P[Pa](3)             V[m3](4)             rho[kg/m3](5)        MW[kg/kmol](6)       Qgas[W/m3](7)        Qsurf[W/m2](8)       total[kg](9)         total[kg/m2/s](10)    total[kg/s](11)      D[kg](12)            D[kg/m2/s](13)       D[kg/s](14)          D[m](15)             D[micron](16)        D[m/s](17)           D[mm/hr](18)         
9.123523037228e-05   2.500000000000e+03   2.106632899967e+04   1.000000000000e-04   3.332985558300e-03   3.288658183489e+00   -1.029442960041e+08  3.138947999504e+01   1.295039560092e-15   2.279241200839e-08    2.279241200839e-11   1.295039560092e-15   2.279241200839e-08   2.279241200839e-11   3.684323072807e-16   3.684323072807e-10   6.484327740653e-12   2.334357986635e-05   
1.190880551279e-04   2.500000000000e+03   2.117549718891e+04   1.000000000000e-04   3.332985550494e-03   3.271703822608e+00   -6.987512079407e+07  3.749440524337e+01   1.963470827283e-15   2.502529499838e-08    2.502529499838e-11   1.963470827283e-15   2.502529499838e-08   2.502529499838e-11   5.585976749027e-16   5.585976749027e-10   7.119571834531e-12   2.563045860431e-05   
1.610833814654e-04   2.500000000000e+03   2.127642059646e+04   1.000000000000e-04   3.332985537707e-03   3.256184681944e+00   -3.803108661080e+07  4.351134845107e+01   3.058420347708e-15   2.690280235321e-08    2.690280235321e-11   3.058420347708e-15   2.690280235321e-08   2.690280235321e-11   8.701053620790e-16   8.701053620790e-10   7.653713329506e-12   2.755336798622e-05   
2.141860749624e-04   2.500000000000e+03   2.134040910825e+04   1.000000000000e-04   3.332985520634e-03   3.246421103103e+00   -1.723590474822e+07  4.750212656569e+01   4.520391084783e-15   2.800441251008e-08    2.800441251008e-11   4.520391084783e-15   2.800441251008e-08   2.800441251008e-11   1.286028758118e-15   1.286028758118e-09   7.967115934589e-12   2.868161736452e-05   
2.795627181821e-04   2.500000000000e+03   2.137318901270e+04   1.000000000000e-04   3.332985499013e-03   3.241442069657e+00   -6.408312941110e+06  4.959695429908e+01   6.371781929944e-15   2.854309020474e-08    2.854309020474e-11   6.371781929944e-15   2.854309020474e-08   2.854309020474e-11   1.812740236115e-15   1.812740236115e-09   8.120367056826e-12   2.923332140457e-05   
3.703154501996e-04   2.500000000000e+03   2.138761342613e+04   1.000000000000e-04   3.332985468613e-03   3.239255919594e+00   -1.607192528003e+06  5.052925062323e+01   8.975027841351e-15   2.877469192291e-08    2.877469192291e-11   8.975027841351e-15   2.877469192291e-08   2.877469192291e-11   2.553350737226e-15   2.553350737226e-09   8.186256592578e-12   2.947052373328e-05   
5.632791177493e-04   2.500000000000e+03   2.139217391724e+04   1.000000000000e-04   3.332985403655e-03   3.238565295626e+00   -8.464917852488e+04  5.082523940989e+01   1.453750924056e-14   2.884702455201e-08    2.884702455201e-11   1.453750924056e-14   2.884702455201e-08   2.884702455201e-11   4.135849001582e-15   4.135849001582e-09   8.206834865437e-12   2.954460551557e-05   
8.708758325233e-04   2.500000000000e+03   2.139242342653e+04   1.000000000000e-04   3.332985300029e-03   3.238527422118e+00   -1.271691109300e+03  5.084128942871e+01   2.341177547931e-14   2.885057685267e-08    2.885057685267e-11   2.341177547931e-14   2.885057685267e-08   2.885057685267e-11   6.660533564525e-15   6.660533564525e-09   8.207845477289e-12   2.954824371824e-05   
1.728729264634e-03   2.500000000000e+03   2.139242558610e+04   1.000000000000e-04   3.332985011053e-03   3.238526814402e+00   -5.097273653333e+02  5.084096103425e+01   4.816077105575e-14   2.884946814448e-08    2.884946814448e-11   4.816077105575e-14   2.884946814448e-08   2.884946814448e-11   1.370149958912e-14   1.370149958912e-08   8.207530055329e-12   2.954710819918e-05   
1.128528196914e-02   2.500000000000e+03   2.139242426515e+04   1.000000000000e-04   3.332981795200e-03   3.238523889662e+00   -5.091658866101e+02  5.083556450114e+01   3.238013034923e-13   2.883671812188e-08    2.883671812188e-11   3.238013034923e-13   2.883671812188e-08   2.883671812188e-11   9.211985874602e-14   9.211985874602e-08   8.203902737376e-12   2.953404985455e-05   
