t[s](1)              t[min](2)            T[K](3)              MW[kg/kmol](4)       wLI_NC7H16[-](5)     wLI_NC10H22[-](6)    wLI_NC12H26[-](7)    wLI_H2O[-](8)        wLI_O2[-](9)         wLI_CO2[-](10)       wLI_CO[-](11)        wLI_N2[-](12)        xLI_NC7H16[-](13)    xLI_NC10H22[-](14)    xLI_NC12H26[-](15)    xLI_H2O[-](16)       xLI_O2[-](17)        xLI_CO2[-](18)       xLI_CO[-](19)        xLI_N2[-](20)        pv_NC7H16[Pa](21)    pv_NC10H22[Pa](22)    pv_NC12H26[Pa](23)    pv_H2O[Pa](24)       
1.281765004922e+02   2.136275008203e+00   3.578313750410e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.636035472772e+04   4.923505040148e+03    9.470597200219e+02    5.707623434490e+04   
1.422502876892e+02   2.370838128153e+00   3.590041906408e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.890517382526e+04   5.183821011818e+03    1.007286264187e+03    5.975468817784e+04   
1.595987506804e+02   2.659979178007e+00   3.604498958900e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.214793151066e+04   5.520751712144e+03    1.086040974437e+03    6.320026239749e+04   
1.835602935784e+02   3.059338226307e+00   3.624466911315e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.682424002668e+04   6.016621183944e+03    1.203492952383e+03    6.823095886919e+04   
1.930065078517e+02   3.216775130862e+00   3.632338756543e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.873226664980e+04   6.222241554487e+03    1.252706751524e+03    7.030391135886e+04   
2.194559078170e+02   3.657598463617e+00   3.654379923181e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   8.427446568282e+04   6.829985700859e+03    1.399802459542e+03    7.638947127757e+04   
2.607791207880e+02   4.346318679800e+00   3.688815933990e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.354426182739e+04   7.879909044920e+03    1.659207068002e+03    8.677164430195e+04   
3.019677514345e+02   5.032795857242e+00   3.723139792862e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.035632874746e+05   9.059056611173e+03    1.957626594495e+03    9.826061587157e+04   
3.329514235617e+02   5.549190392695e+00   3.748959519635e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.116394479256e+05   1.004115224038e+04    2.211249783693e+03    1.077105618412e+05   
3.482075325721e+02   5.803458876201e+00   3.761672943810e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.157928607519e+05   1.055672465080e+04    2.346080271555e+03    1.126327994699e+05   
3.590056840503e+02   5.983428067506e+00   3.770671403375e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.188048531054e+05   1.093494227630e+04    2.445686075983e+03    1.162279297825e+05   
