
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   13.0303
Length[m]                     0                   0.43
C2H5CHO                       0.000000e+00        0.000000e+00
C3H8                          0.000000e+00        0.000000e+00
C4H2                          0.000000e+00        0.000000e+00
C4H4                          0.000000e+00        0.000000e+00
C4H6                          0.000000e+00        0.000000e+00
IC4H8                         0.000000e+00        0.000000e+00
NC4H8                         0.000000e+00        0.000000e+00
CYC5H4O                       0.000000e+00        8.197836e-50
CYC5H6                        0.000000e+00        2.406915e-46
C6H6                          0.000000e+00        0.000000e+00
MCPTD                         0.000000e+00        0.000000e+00
C10H8                         0.000000e+00        1.877116e-54
O                             0.000000e+00        0.000000e+00
H                             0.000000e+00        0.000000e+00
OH                            0.000000e+00        0.000000e+00
HO2                           0.000000e+00        0.000000e+00
C                             0.000000e+00        0.000000e+00
CH                            0.000000e+00        1.218579e-36
HCO                           0.000000e+00        0.000000e+00
CH2                           0.000000e+00        0.000000e+00
CH2S                          0.000000e+00        0.000000e+00
CH3                           0.000000e+00        0.000000e+00
CH3O                          0.000000e+00        0.000000e+00
CH2OH                         0.000000e+00        0.000000e+00
CH3OO                         0.000000e+00        0.000000e+00
C2H                           0.000000e+00        0.000000e+00
HCCO                          0.000000e+00        0.000000e+00
C2H3                          0.000000e+00        0.000000e+00
CH3CO                         0.000000e+00        0.000000e+00
CH2CHO                        0.000000e+00        0.000000e+00
C2H5                          0.000000e+00        0.000000e+00
CH3CHOH                       0.000000e+00        0.000000e+00
C2H4OH                        0.000000e+00        0.000000e+00
C2H5OO                        0.000000e+00        0.000000e+00
C2-QOOH                       0.000000e+00        0.000000e+00
C2-OOQOOH                     0.000000e+00        0.000000e+00
C3H3                          0.000000e+00        1.670288e-44
CH2CCH3                       0.000000e+00        0.000000e+00
CH2CHCH2                      0.000000e+00        1.881652e-30
CHCHCH3                       0.000000e+00        1.680230e-44
RALD3B                        0.000000e+00        0.000000e+00
RALD3G                        0.000000e+00        0.000000e+00
CH3COCH2                      0.000000e+00        0.000000e+00
IC3H7                         0.000000e+00        0.000000e+00
NC3H7                         0.000000e+00        0.000000e+00
C4H3                          0.000000e+00        0.000000e+00
C4H5                          0.000000e+00        0.000000e+00
SC4H7                         0.000000e+00        0.000000e+00
IC4H7                         0.000000e+00        0.000000e+00
CH2C3H5                       0.000000e+00        0.000000e+00
CYC5H5                        0.000000e+00        1.328552e-51
C5H5O                         0.000000e+00        3.785997e-49
C6H5                          0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
